Year,Category,Title,Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Note
2004,VEGETABLES,Aubergine,All Varieties,2nd,$/kg,,,2.5,2.64,3,2.5,2.4,2.82,3.94,4.25,,,
2004,VEGETABLES,Aubergine,All Varieties,Ave,$/kg,,,5.15,4.97,4.31,3.25,3.75,3.72,4.87,5.38,,,
2004,VEGETABLES,Beetroot,Topped,-,$/kg,0.25,0.25,0.25,0.24,0.26,0.33,0.33,0.28,0.28,0.26,0.24,0.24,
2004,VEGETABLES,Broad Beans,Broad,-,$/kg,,,,,,0.7,0.55,0.65,1.05,,,,
2004,VEGETABLES,Brussels Sprouts,All Varieties,1st,$/kg,1.43,1.47,1.58,1.87,,,,3.41,2.59,1.96,1.58,1.49,
2004,VEGETABLES,Brussels Sprouts,All Varieties,2nd,$/kg,1.02,1.04,1.11,1.32,,,,3.5,1.99,1.5,1.14,1.1,
2004,VEGETABLES,Brussels Sprouts,All Varieties,Ave,$/kg,1.36,1.34,1.37,1.56,,,,3.43,2.51,1.87,1.49,1.4,
2004,VEGETABLES,Bulb Onions,Bulb,1st,$/kg,0.63,0.57,0.57,0.57,0.58,0.54,0.45,0.36,0.35,0.29,0.28,0.26,
2004,VEGETABLES,Bulb Onions,Bulb,2nd,$/kg,0.41,0.39,0.38,0.38,0.37,0.38,0.38,0.3,0.3,0.28,0.27,0.25,
2004,VEGETABLES,Bulb Onions,Bulb,Ave,$/kg,0.54,0.49,0.51,0.51,0.47,0.48,0.42,0.32,0.32,0.28,0.27,0.25,
2004,VEGETABLES,Cabbage,Red,1st,$/kg,0.27,0.28,0.27,0.27,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.23,
2004,VEGETABLES,Cabbage,Red,2nd,$/kg,0.21,0.21,0.22,0.21,0.21,0.2,0.21,0.19,0.19,0.2,0.21,0.2,
2004,VEGETABLES,Cabbage,Red,Ave,$/kg,0.27,0.27,0.26,0.26,0.28,0.27,0.26,0.25,0.24,0.24,0.23,0.23,
2004,VEGETABLES,Cabbage,Savoy,1st,$/head,0.29,0.28,0.27,0.26,,0.31,0.31,0.29,0.27,0.27,0.26,0.27,
2004,VEGETABLES,Cabbage,Savoy,2nd,$/head,0.22,0.22,0.21,0.2,,0.28,0.25,0.27,0.26,0.2,0.19,0.2,
2004,VEGETABLES,Cabbage,Savoy,Ave,$/head,0.28,0.27,0.26,0.24,,0.31,0.31,0.29,0.27,0.26,0.25,0.25,
